成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
榮正平, 84, 2089204, 0, 2890, 0, 15140068, 1689, 12289, 0, 18623, 河東, C組
狠丨劉備, 92, 2054084, 0, 1616, 0, 9464696, 0, 11239, 0, 13670, 河東, C組
豪有力, 121, 2038015, 0, 2513, 0, 8057518, 0, 8067, 0, 10300, 河東, F組
天機丨天相, 98, 1995626, 0, 3155, 0, 9889412, 60, 11916, 0, 13610, 河東, 資州門神
南門城衛, 77, 1914260, 0, 2486, 0, 25300693, 0, 12055, 0, 16176, 河東, A組
凜丨打菜, 157, 1872843, 0, 1491, 0, 6778082, 0, 2163, 0, 13286, 河東, F組
海賊丨薩勃, 145, 1784136, 0, 2226, 0, 6600460, 0, 3531, 0, 12340, 河東, B組
雪月囧, 54, 1751816, 0, 3178, 0, 15916195, 129, 16398, 0, 14893, 河東, C組
塵Rigan, 114, 1737585, 0, 1626, 0, 7090594, 0, 5455, 0, 13526, 河東, 九關門神
Corvinus, 122, 1616808, 0, 2435, 0, 7906638, 890, 6121, 0, 13415, 河北, F組
王师丨打地上, 147, 1593819, 0, 1537, 0, 4889560, 0, 2777, 0, 12771, 河東, 未分組
海賊丨鎖聾, 148, 1526258, 0, 1057, 0, 4653279, 44, 3086, 0, 13480, 河東, B組
八卦丨玉玉兒, 116, 1480468, 0, 2114, 0, 10825822, 0, 3164, 0, 15113, 河東, C組
弒離, 118, 1448937, 0, 1922, 0, 7235611, 1498, 10029, 0, 11032, 河東, 鋪路小隊
莫痴香, 110, 1438198, 0, 3295, 0, 4828508, 23, 5606, 0, 13280, 河東, C組
项羽, 167, 1395054, 0, 1800, 0, 2699752, 0, 3500, 0, 9545, 河北, F組
阿良, 69, 1376199, 0, 3552, 0, 14359221, 0, 13373, 0, 15812, 河東, C組
克萊兒, 49, 1348079, 0, 4434, 0, 17396236, 1, 23599, 0, 17760, 河東, B組
海贼丨虫崽崽, 10, 1235475, 0, 1661, 0, 20350544, 0, 10983, 0, 17380, 河東, C組
WarCry, 105, 1000178, 0, 35, 0, 6003123, 0, 11827, 0, 12192, 河東, 鋪路小隊
明也, 119, 973546, 0, 2052, 0, 11531376, 277, 3872, 0, 13250, 河東, 九關門神
聖域の七七, 107, 946043, 0, 1142, 0, 10608516, 15, 7934, 430273, 13222, 河東, C組
西八丨茗雪, 34, 895436, 0, 2531, 0, 28715480, 1723, 14282, 0, 22270, 河東, 九關門神
天機丨貪狼, 109, 837736, 0, 1664, 0, 6303459, 0, 5449, 0, 10669, 河東, 資州門神
音速河馬, 170, 346202, 0, 0, 0, 8883688, 0, 700, 0, 7868, 河北, C組
大宇宙就是我, 64, 280032, 0, 3405, 0, 9339934, 187, 15746, 0, 10980, 河東, C組
西八丨尾魚, 141, 270329, 0, 633, 0, 7018177, 0, 3119, 0, 6153, 河東, F組
卍正卍, 166, 246331, 0, 0, 0, 614059, 0, 0, 0, 3786, 河北, 未分組
黑馬丨聖, 138, 223445, 0, 700, 0, 2692329, 0, 7889, 0, 6529, 河東, F組
西八丨潑猴, 142, 165490, 0, 1515, 0, 788611, 0, 4689, 0, 6180, 河東, F組
八卦丨尖叫兒, 158, 46782, 0, 667, 0, 4321742, 0, 1864, 0, 2813, 河北, F組
巨型擊霸, 159, 11117, 0, 0, 0, 3556030, 0, 0, 0, 7565, 河北, F組
西八丨風鈴草, 168, 384, 0, 0, 0, 545932, 0, 0, 0, 800, 河北, F組
