成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組,,,成員, 戰功總量,, 助攻總量,
皇甫昊天,151,24228273,3958,13592,162808,30750730,3958,14043,162808,19646, 河東, 文青茶棧,,TRUE,皇甫昊天,3958,3958,14043,13592
苦行僧,76,16954078,14920,16461,853396,30113162,14931,27035,853396,17593, 司隸, 血流,,TRUE,苦行僧,20009,19998,27035,16461
茉莉走遠了,172,5189204,0,1050,299831,5189204,0,1050,299831,12088, 河東, 未分組,,TRUE,茉莉走遠了,594,594,1050,1050
音速河馬,180,13157815,0,700,584107,21695301,0,1400,584107,18523, 河東, 天機海賊,,TRUE,音速河馬,0,0,1400,700
项羽,158,10835153,1481,9319,3035102,12139851,1481,11019,3035102,15073, 河東, 未分組,,TRUE,项羽,2843,2843,11019,9319
風雨雙修,51,30835187,17108,23673,636523,46627342,17273,34455,636523,21713, 司隸, 文青茶棧,,TRUE,風雨雙修,28467,28302,34455,23673
飛鳥和蟬,14,18089531,29418,19006,635234,37768572,29454,29918,635234,18230, 司隸, 文青茶棧,,TRUE,飛鳥和蟬,37614,37578,29918,19006
員外,152,21700124,3445,4756,333625,32820448,3445,5715,333625,19570, 河東, 血流,,TRUE,員外,6740,6740,5715,4756
夏侯同,123,28644950,10885,12118,186492,37114666,10885,15851,186492,21358, 司隸, 文青茶棧,,TRUE,夏侯同,14146,14146,15851,12118
悟空我大佬,109,11194994,32663,6686,418226,15776562,32663,7386,418226,14220, 司隸, 西八屁屁,,TRUE,悟空我大佬,38475,38475,7386,6686
書童,125,17317961,2966,9422,1420296,31645427,2966,15008,1420296,18400, 河東, 西八屁屁,,TRUE,書童,2966,2966,15008,9422
海贼丨红豆,96,23574030,6493,11113,0,34278623,6597,19988,0,12580, 司隸, 天機海賊,,TRUE,海贼丨红豆,15006,14902,19988,11113
海贼丨虫崽崽,31,8029294,15980,11414,762049,27144363,15980,20736,762049,17533, 河東, 天機海賊,,TRUE,海贼丨虫崽崽,18225,18225,20736,11414
海贼丨霸王,3,37369134,92579,18283,766314,71822194,95373,32743,766314,22873, 司隸, 天機海賊,,TRUE,海贼丨霸王,111206,108412,32743,18283
海賊丨金將,165,35281312,3823,3903,121284,37485871,3823,4253,121284,24619, 司隸, 天機海賊,,TRUE,海賊丨金將,23574,23574,4253,3903
海賊丨綠油精,131,23374781,9781,6348,0,31437626,9781,11348,0,17533, 司隸, 天機海賊,,TRUE,海賊丨綠油精,9781,9781,11348,6348
海賊丨薩勃,137,22499759,5891,12345,449096,27316083,5891,13650,449096,17369, 河東, 天機海賊,,TRUE,海賊丨薩勃,7993,7993,13650,12345
海賊丨鎖聾,155,20750413,550,10534,578963,23877434,594,12563,578963,17029, 河東, 天機海賊,,TRUE,海賊丨鎖聾,3035,2991,12563,10534
海賊豹魯哥,88,20524015,33197,11474,200660,33578369,33338,18531,200660,15720, 司隸, 天機海賊,,TRUE,海賊豹魯哥,34495,34354,18531,11474
狼丨yu,127,20741771,13566,13736,121089,28747478,13566,18653,121089,14194, 司隸, 天機海賊,,TRUE,狼丨yu,17280,17280,18653,13736
狼丨阿巴怪,18,27154193,66970,12840,452187,58188506,71765,24180,452187,27070, 司隸, 天機海賊,,TRUE,狼丨阿巴怪,104556,99761,24180,12840
狼丨暈船仔,23,21028622,67291,8514,467772,49003069,67291,17460,467772,22146, 司隸, 天機海賊,,TRUE,狼丨暈船仔,80295,80295,17460,8514
祖寒,50,32227603,19124,24409,564573,47951832,19124,37132,564573,27046, 司隸, 文青茶棧,,TRUE,祖寒,29154,29154,37132,24409
神谷龍淵,54,16973573,47232,15217,280479,30144690,48899,20365,280479,24243, 河東, 血流,,TRUE,神谷龍淵,54703,53036,20365,15217
粉家軍丨楓,87,17427900,9730,11917,500827,31147443,9730,16737,500827,16220, 河東, 天機海賊,,TRUE,粉家軍丨楓,14829,14829,16737,11917
诸葛靖,56,44772292,19612,14842,576428,77067237,22051,23202,576428,26813, 河東, 西八屁屁,,TRUE,诸葛靖,44955,42516,23202,14842
迷彩,62,44908524,17354,18998,503849,61380372,17354,24403,606829,26010, 司隸, 血流,,TRUE,迷彩,25413,25413,24403,18998
馬勒喇嘛,143,13411158,1069,11520,998690,20181316,1069,14621,998690,20370, 河東, 西八屁屁,,TRUE,馬勒喇嘛,4476,4476,14621,11520
高原,71,31181814,41260,19363,503533,51147066,41908,32259,503533,22063, 司隸, 天機海賊,,TRUE,高原,53450,52802,32259,19363
高陽璿,146,22184052,4283,9248,591759,23836159,4283,9598,591759,16050, 司隸, 血流,,TRUE,高陽璿,5626,5626,9598,9248
將軍,110,10537672,11309,11813,1727574,22365561,11355,20773,1727574,15280, 河東, 血流,,TRUE,將軍,16191,16145,20773,11813
清嵐,34,9371229,24555,20751,650585,16940906,24894,38647,650585,15705, 司隸, 天機海賊,,TRUE,清嵐,38913,38574,38647,20751
莫那泰雅,140,10434063,5799,11498,586028,21702602,5801,16635,586028,17687, 司隸, 血流,,TRUE,莫那泰雅,8094,8092,16635,11498
莫痴香,133,8505984,6076,10331,1360900,11896294,6099,12642,1360900,16659, 河東, 西八屁屁,,TRUE,莫痴香,7877,7854,12642,10331
通天飛賊,134,36954890,11470,5192,402229,60303653,11470,10315,402229,20865, 司隸, 文青茶棧,,TRUE,通天飛賊,22675,22675,10315,5192
陶長秋,53,35492503,47308,15742,126485,57064826,47308,27085,126485,19275, 司隸, 血流,,TRUE,陶長秋,58544,58544,27085,15742
雪月囧,60,9319680,12561,19262,180978,23484059,12690,32482,180978,16150, 河東, 文青茶棧,,TRUE,雪月囧,20788,20659,32482,19262
無双丨王騎,11,44616332,69041,17633,450749,71456282,74343,28474,450749,22006, 司隸, 文青茶棧,,TRUE,無双丨王騎,102498,97196,28474,17633
無双丨射波師,42,49588610,32542,10787,576600,77265039,32542,20377,576600,25150, 河東, 文青茶棧,,TRUE,無双丨射波師,49241,49241,20377,10787
無双丨諦聽,17,26805033,56057,15252,431873,53746912,56058,28153,513050,22849, 司隸, 文青茶棧,,TRUE,無双丨諦聽,69460,69459,28153,15252
無敵奶黃包,73,15572580,10875,18416,1030803,40076136,10875,34193,1030803,24260, 司隸, 西八屁屁,,TRUE,無敵奶黃包,14771,14771,34193,18416
無雙丨小黑熊,66,28368729,22008,11994,894705,46341664,22008,15703,894705,24133, 司隸, 天機海賊,,TRUE,無雙丨小黑熊,33893,33893,15703,11994
無雙丨尛,2,26938528,56050,18676,714535,60408064,56050,30885,714535,29110, 司隸, 血流,,TRUE,無雙丨尛,84713,84713,30885,18676
程凝,38,25487243,28041,25575,135273,46640910,28597,37410,135273,24339, 河東, 血流,,TRUE,程凝,30985,30429,37410,25575
蛙丨Yyy,156,12601552,4740,750,286768,17575120,4740,750,286768,10142, 司隸, 西八屁屁,,TRUE,蛙丨Yyy,4999,4999,750,750
雲來俠客,22,48623262,24623,14322,2687914,72838220,24636,23478,2687914,21939, 司隸, 文青茶棧,,TRUE,雲來俠客,47956,47943,23478,14322
黑馬丨聖,153,8951314,111,6478,0,11420198,111,13667,0,11462, 河東, 天機海賊,,TRUE,黑馬丨聖,111,111,13667,6478
圓圓固圓圓,116,32555988,11275,9250,572767,46934458,14114,15072,572767,23033, 司隸, 血流,,TRUE,圓圓固圓圓,17487,14648,15072,9250
弒離,135,10175299,5085,11974,531636,15961973,6583,20081,531636,17561, 河東, 血流,,TRUE,弒離,11171,9673,20081,11974
滅世傑哥,61,26858987,15667,21243,719172,46175514,15667,30420,719172,26433, 河東, 血流,,TRUE,滅世傑哥,31372,31372,30420,21243
瑋王,114,23100076,15831,15777,545052,36577539,15831,21791,545052,21613, 司隸, 西八屁屁,,TRUE,瑋王,17563,17563,21791,15777
聖域のMoM,8,52465570,72743,11518,123028,94984190,79817,17037,123028,27113, 司隸, 血流,,TRUE,聖域のMoM,103771,96697,17037,11518
聖域の七七,124,5103188,9633,10661,3618844,14765661,9648,17453,4049117,17533, 司隸, 血流,,TRUE,聖域の七七,11013,10998,17453,10661
聖域の白風夕,35,25782894,19104,20863,672137,46622892,19104,28480,672137,23613, 司隸, 血流,,TRUE,聖域の白風夕,24079,24079,28480,20863
聖域の爽哥,107,33764417,15401,16145,420870,42447370,15700,20981,420870,24590, 司隸, 血流,,TRUE,聖域の爽哥,16309,16010,20981,16145
聖域の雲雲,44,54709505,62055,5351,0,92249528,62055,12432,0,28390, 司隸, 血流,,TRUE,聖域の雲雲,83578,83578,12432,5351
董豆豆,29,43681105,53977,12209,488276,62062369,53977,17129,488276,22363, 司隸, 天機海賊,,TRUE,董豆豆,74518,74518,17129,12209
遊龍,174,5987850,334,373,151747,6241189,334,373,151747,12929, 河北, 血流,,TRUE,遊龍,334,334,373,373
塵Rigan,115,13453220,10056,14309,524863,18806229,10056,18138,524863,12134, 司隸, 文青茶棧,,TRUE,塵Rigan,12953,12953,18138,14309
榮正平,79,17419868,13499,18226,529600,30470732,15188,27625,529600,24550, 河東, 文青茶棧,,TRUE,榮正平,24959,23270,27625,18226
熊熊本家,59,21691649,12208,8313,1461448,47766578,12208,18516,1461448,22290, 司隸, 西八屁屁,,TRUE,熊熊本家,21647,21647,18516,8313
瘋玖陳,1,38196795,144341,12751,522838,88616810,144342,12751,522838,27886, 司隸, 天機海賊,,TRUE,瘋玖陳,155251,155250,12751,12751
聚丨程堯,21,27572456,37888,13639,618994,46234797,38204,24872,618994,22623, 司隸, 血流,,TRUE,聚丨程堯,48824,48508,24872,13639
聚丨織田信長,168,53897873,529,4907,195294,76704270,538,7227,195294,25123, 河東, 血流,,TRUE,聚丨織田信長,5951,5942,7227,4907
蒙古包,63,22732126,21097,16758,611539,36109580,21883,29110,611539,21863, 司隸, 文青茶棧,,TRUE,蒙古包,27030,26244,29110,16758
豪有力,120,17419818,6601,13340,619120,23439321,6601,18894,619120,15360, 河東, 血流,,TRUE,豪有力,7303,7303,18894,13340
凜丨打菜,160,22666847,509,8694,584573,27572086,509,9366,584573,20839, 河東, 天機海賊,,TRUE,凜丨打菜,2889,2889,9366,8694
劍丨莫問,27,42985103,43432,10337,539154,73555357,43432,19147,539154,22663, 司隸, 文青茶棧,,TRUE,劍丨莫問,49476,49476,19147,10337
劍仔十八世,30,31954375,42075,14682,437460,70475459,42075,25504,437460,28050, 司隸, 天機海賊,,TRUE,劍仔十八世,52099,52099,25504,14682
樂正小谷,55,36414498,34875,18620,543068,65900227,34875,26156,543068,22303, 司隸, 西八屁屁,,TRUE,樂正小谷,56843,56843,26156,18620
歐冶亭,52,42757271,50780,11939,307384,61750017,50780,19875,307384,18020, 司隸, 血流,,TRUE,歐冶亭,59455,59455,19875,11939
歐陽燁,41,24080018,46752,10863,579675,46448943,46885,19566,579675,19800, 司隸, 血流,,TRUE,歐陽燁,56960,56827,19566,10863
魃丨讓妳受潮,111,25590633,20383,4466,128964,49885836,20432,9288,128964,18963, 河東, 文青茶棧,,TRUE,魃丨讓妳受潮,20432,20383,9288,4466
魃丨讓妳漲潮,130,31845419,16023,5698,0,48527126,16023,9618,0,17243, 河東, 文青茶棧,,TRUE,魃丨讓妳漲潮,16023,16023,9618,5698
魅力十足,128,33258576,20376,5031,71485,59421350,20376,11505,71485,21973, 司隸, 西八屁屁,,TRUE,魅力十足,24685,24685,11505,5031
儒丨皇儒無上,40,19509953,47412,10391,790369,42409201,47412,19669,790369,19539, 司隸, 天機海賊,,TRUE,儒丨皇儒無上,53037,53037,19669,10391
熾羽翊,49,39209139,25984,16482,713309,62072623,27151,30367,713309,22475, 司隸, 文青茶棧,,TRUE,熾羽翊,36563,35396,30367,16482
燕丨家榮志豪,39,35726016,71576,6857,573066,57611464,81472,10734,573066,16613, 司隸, 文青茶棧,,TRUE,燕丨家榮志豪,96060,86164,10734,6857
龍匀,48,42642296,31654,12756,448891,75698456,31654,22862,448891,26840, 司隸, 文青茶棧,,TRUE,龍匀,47650,47650,22862,12756
薪水不夠多,99,36069183,11064,16468,328084,46764542,11064,24881,328084,18926, 河東, 天機海賊,,TRUE,薪水不夠多,15082,15082,24881,16468
韓戩,77,14247580,19410,16622,329606,24992298,19410,22695,329606,16533, 司隸, 天機海賊,,TRUE,韓戩,27484,27484,22695,16622
獵犬,4,38694845,64491,9184,164758,74586506,64491,19966,164758,26543, 司隸, 天機海賊,,TRUE,獵犬,95623,95623,19966,9184
雙煞丨白無常,64,29839645,26807,21105,602498,55245540,27724,33991,602498,23503, 司隸, 文青茶棧,,TRUE,雙煞丨白無常,38701,37784,33991,21105
雙煞丨黑無常,32,27693947,53173,15640,670993,49245266,54070,27054,670993,25770, 司隸, 文青茶棧,,TRUE,雙煞丨黑無常,66359,65462,27054,15640
魔彈射手,65,18603832,10963,20802,669274,32980037,12007,31649,669274,22307, 司隸, 西八屁屁,,TRUE,魔彈射手,14715,13671,31649,20802
靈佬寺丶金童,6,48681738,87361,10139,318602,88823815,91707,18498,318602,29670, 司隸, 天機海賊,,TRUE,靈佬寺丶金童,101825,97479,18498,10139
