成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
皇甫昊天, 163, 4226734, 0, 101, 0, 4226734, 0, 101, 0, 11366, 河北, C組
狠丨劉備, 76, 3796173, 0, 7839, 0, 4452280, 0, 7839, 0, 10260, 河東, C組
段裕, 141, 3618644, 0, 2996, 0, 3618644, 0, 2996, 0, 12380, 河東, C組
Corvinus, 121, 3428294, 0, 3435, 0, 3428294, 0, 3435, 0, 12656, 河北, F組
八卦丨玉玉兒, 118, 3201007, 0, 1050, 0, 4603890, 0, 1050, 0, 10655, 河北, C組
巨型擊霸, 170, 3137818, 0, 0, 0, 3137818, 0, 0, 0, 6293, 河北, F組
海賊丨薩勃, 146, 3012711, 0, 273, 0, 3012711, 0, 273, 0, 6089, 河北, B組
豪有力, 122, 2986889, 0, 2716, 0, 2986889, 0, 2716, 0, 7840, 河北, F組
弒離, 115, 2936411, 0, 5925, 0, 3339162, 0, 5925, 0, 7252, 河東, 鋪路小隊
WarCry, 93, 2927781, 0, 9081, 0, 3861348, 0, 9081, 0, 11640, 河北, 鋪路小隊
危公羊, 104, 2886215, 0, 3462, 0, 3277703, 0, 3462, 0, 7548, 河東, C組
八卦丨尖叫兒, 162, 2691875, 0, 847, 0, 2820877, 0, 847, 0, 2553, 河北, F組
天機丨貪狼, 97, 2578667, 0, 1924, 0, 3824272, 0, 1924, 0, 8831, 河東, 資州門神
甲必丹, 136, 2577269, 0, 0, 0, 2577269, 0, 0, 0, 10289, 河東, 資州門神
蛙丨Yyy, 149, 2362712, 0, 632, 0, 2362712, 0, 632, 0, 6736, 河北, 未分組
方唐鏡, 151, 2224447, 0, 350, 0, 2348348, 0, 350, 0, 5820, 河北, 未分組
虎盡金來, 147, 2221927, 0, 617, 0, 2221927, 0, 617, 0, 9366, 河東, C組
黑馬丨聖, 99, 1984660, 0, 6839, 0, 2099575, 0, 6839, 0, 6126, 河北, F組
塵Rigan, 89, 1900059, 0, 3129, 0, 1900059, 0, 3129, 0, 10483, 河東, 九關門神
凜丨打菜, 159, 1706146, 0, 672, 0, 1771392, 0, 672, 0, 7840, 河北, F組
莫痴香, 131, 1513076, 0, 1393, 0, 1513076, 0, 1393, 0, 8743, 河北, C組
海賊丨鎖聾, 145, 1499187, 0, 894, 0, 1499187, 0, 894, 0, 9179, 河北, B組
悟空我大佬, 158, 1022363, 0, 350, 0, 1022363, 0, 350, 0, 9613, 河北, 未分組
王师丨打地上, 157, 443634, 0, 1240, 0, 917134, 0, 1240, 0, 9780, 河北, 未分組
西八丨潑猴, 150, 331176, 0, 924, 0, 331176, 0, 924, 0, 5700, 河北, F組
西八丨風鈴草, 169, 330195, 0, 0, 0, 330195, 0, 0, 0, 800, 河北, F組
项羽, 167, 88460, 0, 0, 0, 104728, 0, 0, 0, 7123, 河北, 未分組
卍正卍, 171, 88286, 0, 0, 0, 88286, 0, 0, 0, 2166, 河北, 未分組
