成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
聖域の七七, 99, 8343261, 15, 6757, 430273, 9423482, 15, 6757, 430273, 12035, 河東, C組
西八丨策鎖, 147, 6813260, 728, 3935, 0, 8262149, 728, 3935, 0, 11746, 河東, 九關門神
甲必丹, 141, 4090004, 623, 0, 0, 4090004, 623, 0, 0, 11660, 河東, 資州門神
娃丨Zdx, 70, 14695332, 0, 11514, 0, 14962736, 0, 11514, 0, 11420, 河東, B組
子無, 28, 7096126, 125, 12782, 0, 8813659, 125, 12782, 0, 11142, 河北, 鋪路小隊
明治光秀, 150, 8396462, 12, 2464, 0, 8675170, 12, 2464, 0, 11051, 河東, F組
清嵐, 22, 6825383, 339, 17896, 0, 7048720, 339, 17896, 0, 11046, 河東, 資州門神
粉家軍丨楓, 45, 13434801, 0, 4820, 0, 13434801, 0, 4820, 0, 11030, 河東, F組
Wei, 143, 11880988, 0, 3679, 0, 11880988, 0, 3679, 0, 11012, 河北, B組
WarCry, 94, 3390238, 0, 11792, 0, 4323805, 0, 11792, 0, 10948, 河北, 鋪路小隊
悟空我大佬, 160, 3581816, 0, 350, 0, 3581816, 0, 350, 0, 10723, 河東, B組
虎盡金來, 155, 3278514, 199, 1183, 0, 3278514, 199, 1183, 0, 10643, 河東, C組
DongDong, 58, 9706781, 0, 8582, 0, 10754816, 0, 8582, 0, 10516, 河東, B組
包龍星, 144, 17717792, 48, 700, 0, 18257125, 48, 700, 0, 10313, 河東, F組
海贼丨红豆, 46, 8278500, 104, 8875, 0, 10496567, 104, 8875, 0, 10149, 河東, 九關門神
大宇宙就是我, 60, 6636602, 187, 12341, 0, 8313664, 187, 12341, 0, 10080, 河東, C組
王师丨打地上, 151, 2718585, 0, 1240, 0, 3192085, 0, 1240, 0, 9940, 河北, 未分組
莫痴香, 109, 2725090, 23, 2276, 0, 2725090, 23, 2276, 0, 9845, 河東, C組
西八丨老婦人, 152, 5684132, 0, 2464, 0, 5731006, 0, 2464, 0, 9833, 河東, 九關門神
天機丨貪狼, 104, 3388659, 0, 3785, 0, 4634264, 0, 3785, 0, 9709, 河東, 資州門神
狼丨yu, 126, 7446297, 0, 4917, 0, 7446297, 0, 4917, 0, 9560, 河東, 鋪路小隊
危公羊, 112, 5989229, 0, 3812, 0, 6380717, 0, 3812, 0, 9409, 河東, C組
海賊丨鎖聾, 148, 2252753, 44, 2029, 0, 2252753, 44, 2029, 0, 9287, 河北, B組
凜丨打菜, 161, 3094044, 0, 672, 0, 3159290, 0, 672, 0, 8980, 河東, F組
弒離, 106, 4919294, 1498, 8107, 0, 5322045, 1498, 8107, 0, 8546, 河東, 鋪路小隊
小海豹披薩, 140, 15061563, 2435, 4160, 0, 15187527, 2435, 4160, 0, 8491, 河東, C組
豪有力, 119, 5835454, 0, 5554, 0, 5835454, 0, 5554, 0, 8032, 河北, F組
高陽璿, 164, 1143710, 0, 350, 0, 1143710, 0, 350, 0, 7668, 河北, 未分組
无知, 154, 5693287, 0, 2848, 0, 6086126, 0, 2848, 0, 7582, 河東, 資州門神
巨型擊霸, 170, 3542753, 0, 0, 0, 3542753, 0, 0, 0, 7490, 河北, F組
项羽, 165, 1030174, 0, 1350, 0, 1046442, 0, 1350, 0, 7123, 河北, F組
音速河馬, 169, 7356341, 0, 700, 0, 7848757, 0, 700, 0, 7112, 河北, C組
海賊丨薩勃, 149, 3698178, 0, 1305, 0, 3698178, 0, 1305, 0, 6950, 河北, B組
蛙丨Yyy, 145, 3541479, 0, 632, 0, 3541479, 0, 632, 0, 6676, 河北, 未分組
方唐鏡, 156, 5711599, 0, 350, 0, 5835500, 0, 350, 0, 6449, 河北, 未分組
黑馬丨聖, 125, 2350217, 0, 6839, 0, 2465132, 0, 6839, 0, 6449, 河北, F組
西八丨尾魚, 129, 4963077, 0, 2486, 0, 6747832, 0, 2486, 0, 5993, 河北, F組
西八丨潑猴, 138, 616634, 0, 3139, 0, 616634, 0, 3139, 0, 5866, 河北, F組
海賊丨金將, 158, 2170140, 0, 350, 0, 2170140, 0, 350, 0, 5806, 河東, F組
西八丨肉羹麵, 162, 840510, 0, 0, 0, 943950, 0, 0, 0, 5680, 河北, 未分組
怜怜兒, 153, 312650, 0, 0, 0, 1081703, 0, 0, 0, 3234, 河北, 未分組
Sowut, 168, 490118, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
八卦丨尖叫兒, 157, 4144842, 0, 847, 0, 4273844, 0, 847, 0, 2716, 河北, F組
卍正卍, 171, 367728, 0, 0, 0, 367728, 0, 0, 0, 2483, 河北, 未分組
西八丨風鈴草, 167, 545548, 0, 0, 0, 545548, 0, 0, 0, 800, 河北, F組
