成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
悟空我大佬, 154, 4909993, 0, 2616, 0, 9491561, 0, 3316, 0, 13470, 河東, B組
高陽璿, 151, 4866619, 0, 5220, 0, 6518726, 0, 5570, 0, 12783, 河東, C組
甲必丹, 110, 4824922, 0, 4921, 0, 8968144, 623, 4921, 0, 14170, 河東, 資州門神
莫那泰雅, 145, 4766058, 0, 5518, 0, 16034597, 2, 10655, 0, 14613, 河東, B組
孔晤, 65, 4764216, 0, 6864, 0, 19722819, 0, 19988, 0, 13583, 河東, C組
員外, 153, 4755276, 0, 2214, 0, 15875600, 0, 3173, 0, 15743, 河東, C組
仙草丨不回家, 52, 4731947, 0, 2769, 0, 28085544, 4216, 13787, 0, 17411, 河東, C組
瑋王, 132, 4728977, 0, 6183, 0, 18206440, 0, 12197, 0, 17213, 河東, C組
子無, 53, 4641078, 0, 6286, 0, 13454864, 125, 19103, 0, 17170, 河東, 鋪路小隊
任我行丨行行, 13, 4463314, 0, 7737, 0, 16978208, 0, 16425, 0, 16046, 河東, B組
粉家軍丨楓, 73, 4391485, 0, 5761, 0, 18111028, 0, 10581, 0, 14100, 河東, F組
吃飽再減肥, 131, 4276189, 0, 3224, 0, 14011018, 0, 5112, 0, 13940, 河東, 九關門神
Corvinus, 102, 4242037, 0, 6113, 0, 10531867, 890, 9799, 0, 15153, 河東, F組
娃丨Zdx, 103, 4231578, 0, 1650, 0, 19929731, 0, 13164, 0, 11580, 河東, B組
豪有力, 119, 4154899, 0, 5835, 0, 10174402, 0, 11389, 0, 10443, 河東, F組
八卦丨羊羊兒, 82, 4089296, 1718, 7531, 0, 18405024, 1718, 11722, 0, 17798, 河東, 資州門神
天機丨貪狼, 126, 3980702, 0, 3531, 0, 9446425, 0, 7316, 0, 10886, 河東, 資州門神
西八丨太曦, 50, 3970969, 0, 7650, 0, 11870049, 0, 17261, 0, 15620, 河東, 九關門神
虎盡金來, 152, 3782590, 0, 3591, 0, 7390453, 199, 4809, 0, 13620, 河東, C組
八卦丨玉玉兒, 122, 3749567, 0, 2385, 0, 13094921, 0, 3435, 0, 16939, 河東, C組
天機丨天相, 92, 3749407, 0, 7497, 0, 11643193, 60, 16258, 0, 13850, 河東, 資州門神
工無不克, 118, 3748775, 18, 5337, 0, 17809896, 22, 13226, 0, 16132, 河東, 資州門神
書童, 97, 3723021, 0, 5263, 0, 18050487, 0, 10849, 0, 17780, 河東, C組
西八丨小柴犬, 59, 3711343, 0, 7569, 0, 19493985, 0, 16117, 0, 17390, 河東, A組
馬勒喇嘛, 128, 3670499, 0, 6725, 0, 10440657, 0, 9826, 0, 15588, 河北, F組
克萊兒, 38, 3658314, 0, 16071, 100, 19706471, 1, 35236, 100, 17663, 河東, B組
弒離, 130, 3568920, 0, 3729, 0, 9355594, 1498, 11836, 0, 12596, 河東, 鋪路小隊
魔彈射手, 66, 3559757, 0, 6649, 0, 17935962, 1044, 17496, 0, 16358, 河東, C組
王师丨打地上, 141, 3503053, 0, 4887, 0, 6798794, 0, 6127, 0, 13940, 河東, 未分組
凜丨打菜, 159, 3363027, 0, 3829, 0, 8268266, 0, 4501, 0, 14213, 河東, F組
塵Rigan, 114, 3328565, 0, 4660, 0, 8681574, 0, 8489, 0, 13883, 河東, 九關門神
大宇宙就是我, 49, 2871862, 0, 10198, 0, 11931764, 187, 22539, 0, 10980, 河東, C組
海賊丨鎖聾, 156, 2871526, 0, 1509, 0, 5998547, 44, 3538, 0, 13503, 河東, B組
无知, 162, 2809233, 0, 1290, 0, 9442816, 0, 4173, 0, 11012, 河東, 資州門神
南門城衛, 57, 2801322, 0, 8673, 0, 26187755, 0, 18242, 0, 16222, 河東, A組
WarCry, 120, 2768745, 0, 3065, 0, 7771690, 0, 14857, 0, 12735, 河東, 鋪路小隊
榮正平, 75, 2695187, 0, 7075, 0, 15746051, 1689, 16474, 0, 18832, 河東, C組
