成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
劍丨莫問, 75, 4899157, 0, 4382, 0, 7273704, 0, 4382, 0, 12380, 河北, B組
光年之外, 114, 5957924, 1, 2401, 0, 8573947, 1, 2401, 0, 12410, 河北, B組
诸葛靖, 72, 8689464, 0, 2751, 0, 11097250, 0, 2751, 0, 12423, 河北, C組
身輕如燕, 5, 6843956, 0, 4677, 0, 7043787, 0, 4677, 0, 12619, 河北, B組
劍仔十八世, 18, 9832108, 0, 4584, 0, 12864359, 0, 4584, 0, 12628, 河東, A組
無双丨諦聽, 23, 6056143, 0, 5234, 0, 7395690, 0, 5234, 0, 12640, 河北, C組
靈佬寺丶金童, 42, 9391202, 26, 4462, 0, 11821296, 26, 4462, 0, 12666, 河北, B組
狼丨阿巴怪, 14, 7111625, 0, 5110, 0, 10394249, 0, 5110, 0, 12880, 河東, 資州門神
無敵奶黃包, 10, 5617044, 0, 7700, 0, 8481476, 0, 7700, 0, 12900, 河北, 九關門神
宣颜, 13, 11066481, 0, 5889, 0, 14018869, 0, 5889, 0, 13200, 河北, C組
出木杉同學, 138, 6134486, 0, 1340, 0, 8847418, 0, 1340, 0, 13320, 河北, A組
瘋玖陳, 6, 11301117, 1, 2289, 0, 15627484, 1, 2289, 0, 13500, 河北, A組
無雙丨尛, 1, 5748684, 0, 5236, 0, 8946676, 0, 5236, 0, 13610, 河北, A組
批歪丨培根, 8, 12580513, 0, 4508, 0, 15543348, 0, 4508, 0, 14433, 河北, 資州門神
聖域の白風夕, 97, 6600745, 0, 3764, 0, 10194071, 0, 3764, 0, 15010, 河東, A組
無雙丨小黑熊, 132, 8035189, 0, 2159, 0, 10265155, 0, 2159, 0, 17053, 河東, A組
無双丨史坦那, 64, 14167193, 0, 2578, 0, 19104993, 0, 2578, 0, 19230, 河東, A組
