成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
瘋玖陳, 1, 0, 0, 0, 0, 98529893, 155251, 12902, 522838, 29663, 司隸, 天機海賊
陶長秋, 54, 0, 0, 0, 0, 61026174, 58544, 27085, 126485, 19775, 司隸, 血流
你喔哭, 160, 0, 0, 0, 0, 3862065, 11606, 350, 1259680, 6129, 河東, 天機海賊
八卦丨滴滴兒, 178, 0, 0, 0, 0, 316683, 0, 0, 1405360, 1385, 河北, 天機海賊
批歪丨培根, 14, 0, 0, 35, 0, 91788290, 100467, 33248, 207514, 24255, 司隸, 血流
无知, 164, 0, 0, 0, 0, 13726236, 118, 8272, 286568, 13980, 河東, 文青茶棧
韓戩, 76, 0, 0, 0, 0, 28135211, 27484, 27645, 507633, 16553, 司隸, 天機海賊
项羽, 161, 0, 0, 0, 0, 12359310, 2843, 11019, 3035102, 15073, 河東, 未分組
上官飛燕, 83, 0, 0, 0, 0, 40031349, 15026, 28600, 493520, 20010, 河東, 文青茶棧
程凝, 48, 0, 0, 0, 0, 50137632, 30985, 37935, 135273, 24499, 河東, 血流
工無不克, 102, 0, 0, 0, 0, 34613967, 32351, 18066, 230812, 19293, 司隸, 天機海賊
海贼丨虫崽崽, 44, 0, 0, 0, 0, 27260676, 18225, 20736, 762049, 17480, 河東, 天機海賊
孔晤, 82, 0, 0, 0, 0, 29300636, 15199, 26319, 3870613, 15630, 司隸, 西八屁屁
克萊兒, 57, 0, 0, 0, 0, 39961355, 13354, 68719, 600000, 23779, 司隸, 血流
海賊丨鎖聾, 156, 0, 0, 0, 0, 26763417, 3035, 12598, 578963, 17813, 河東, 天機海賊
八卦丨尖叫兒, 168, 0, 0, 0, 0, 13621575, 3116, 3264, 1131921, 5693, 河東, 天機海賊
这样一个人, 7, 0, 0, 0, 0, 52216954, 38198, 30308, 649508, 18410, 司隸, 文青茶棧
